"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L145","person","example.AssertionsDemo.person;Lexample/Person;","L138","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\AssertionsDemo.java","30","2","30","44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L242","firstName","example.Person.firstName;Ljava/lang/String;","L147","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\AssertionsDemo.java","149","2","149","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L243","lastName","example.Person.lastName;Ljava/lang/String;","L147","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\AssertionsDemo.java","150","2","150","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L810","logger","example.RepeatedTestsDemo.logger;Ljava/util/logging/Logger;","L808","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\RepeatedTestsDemo.java","26","2","28","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L890","stack","example.TestingAStackDemo.stack;Ljava/util/Stack;","L888","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\TestingAStackDemo.java","30","2","30","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L961","LOG","example.testinterface.TestLifecycleLogger.LOG;Ljava/util/logging/Logger;","L940","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\testinterface\TestLifecycleLogger.java","27","2","27","82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1070","LOG","example.timing.TimingExtension.LOG;Ljava/util/logging/Logger;","L974","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\timing\TimingExtension.java","33","2","33","86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25950","gradleProperties","org.junit.AutomaticModuleNameTests.gradleProperties;Ljava/util/Properties;","L25947","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\platform-tests\src\test\java\org\junit\AutomaticModuleNameTests.java","39","2","39","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L466","random","example.DynamicTestsDemo$1.random;Ljava/util/Random;","L465","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\DynamicTestsDemo.java","121","4","121","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L476","current","example.DynamicTestsDemo$1.current;I","L465","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\DynamicTestsDemo.java","128","4","128","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L923","anElement","example.TestingAStackDemo$WhenNew$AfterPushing.anElement;Ljava/lang/String;","L921","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\TestingAStackDemo.java","69","4","69","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2769","MAX_SNIPPET_LENGTH","org.junit.jupiter.api.AssertLinesMatch.MAX_SNIPPET_LENGTH;I","L2765","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertLinesMatch.java","39","2","39","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3185","children","org.junit.jupiter.api.DynamicContainer.children;Ljava/util/stream/Stream;","L3162","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\DynamicContainer.java","65","2","65","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3194","displayName","org.junit.jupiter.api.DynamicNode.displayName;Ljava/lang/String;","L506","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\DynamicNode.java","28","2","28","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3244","executable","org.junit.jupiter.api.DynamicTest.executable;Lorg/junit/jupiter/api/function/Executable;","L396","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\DynamicTest.java","101","2","101","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3739","DISPLAY_NAME_PLACEHOLDER","org.junit.jupiter.api.RepeatedTest.DISPLAY_NAME_PLACEHOLDER;Ljava/lang/String;","L843","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\RepeatedTest.java","64","2","64","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3741","CURRENT_REPETITION_PLACEHOLDER","org.junit.jupiter.api.RepeatedTest.CURRENT_REPETITION_PLACEHOLDER;Ljava/lang/String;","L843","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\RepeatedTest.java","70","2","70","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3743","TOTAL_REPETITIONS_PLACEHOLDER","org.junit.jupiter.api.RepeatedTest.TOTAL_REPETITIONS_PLACEHOLDER;Ljava/lang/String;","L843","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\RepeatedTest.java","76","2","76","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3745","SHORT_DISPLAY_NAME","org.junit.jupiter.api.RepeatedTest.SHORT_DISPLAY_NAME;Ljava/lang/String;","L843","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\RepeatedTest.java","85","2","85","118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L853","LONG_DISPLAY_NAME","org.junit.jupiter.api.RepeatedTest.LONG_DISPLAY_NAME;Ljava/lang/String;","L843","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\RepeatedTest.java","93","2","93","84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4492","nix","org.junit.jupiter.api.AssertThrowsAssertionsTests.nix;Lorg/junit/jupiter/api/function/Executable;","L4489","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertThrowsAssertionsTests.java","34","2","35","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4573","changed","org.junit.jupiter.api.AssertTimeoutAssertionsTests.changed;Ljava/lang/ThreadLocal;","L4570","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertTimeoutAssertionsTests.java","36","2","36","110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4781","assertedValues","org.junit.jupiter.api.DynamicTestTests.assertedValues;Ljava/util/List;","L4779","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\DynamicTestTests.java","24","2","24","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4880","DEACTIVATE_CONDITIONS_PATTERN_PROPERTY_NAME","org.junit.jupiter.engine.Constants.DEACTIVATE_CONDITIONS_PATTERN_PROPERTY_NAME;Ljava/lang/String;","L4878","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\Constants.java","55","2","55","113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4882","DEACTIVATE_ALL_CONDITIONS_PATTERN","org.junit.jupiter.engine.Constants.DEACTIVATE_ALL_CONDITIONS_PATTERN;Ljava/lang/String;","L4878","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\Constants.java","63","2","63","69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4884","EXTENSIONS_AUTODETECTION_ENABLED_PROPERTY_NAME","org.junit.jupiter.engine.Constants.EXTENSIONS_AUTODETECTION_ENABLED_PROPERTY_NAME;Ljava/lang/String;","L4878","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\Constants.java","71","2","71","127","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4886","DEFAULT_TEST_INSTANCE_LIFECYCLE_PROPERTY_NAME","org.junit.jupiter.engine.Constants.DEFAULT_TEST_INSTANCE_LIFECYCLE_PROPERTY_NAME;Ljava/lang/String;","L4878","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\Constants.java","86","2","86","124","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6550","ENGINE_ID","org.junit.jupiter.engine.JupiterTestEngine.ENGINE_ID;Ljava/lang/String;","L9573","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\main\java\org\junit\jupiter\engine\JupiterTestEngine.java","35","2","35","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9813","engine","org.junit.jupiter.engine.AbstractJupiterTestEngineTests.engine;Lorg/junit/jupiter/engine/JupiterTestEngine;","L7294","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\AbstractJupiterTestEngineTests.java","29","2","29","67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9831","methodsInvoked","org.junit.jupiter.engine.BeforeAllAndAfterAllComposedAnnotationTests.methodsInvoked;Ljava/util/List;","L9828","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\BeforeAllAndAfterAllComposedAnnotationTests.java","35","2","35","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9850","methodsInvoked","org.junit.jupiter.engine.BeforeEachAndAfterEachComposedAnnotationTests.methodsInvoked;Ljava/util/List;","L9847","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\BeforeEachAndAfterEachComposedAnnotationTests.java","35","2","35","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10024","beforeAllInvoked","org.junit.jupiter.engine.DefaultMethodTests.beforeAllInvoked;Z","L10021","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\DefaultMethodTests.java","42","2","42","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L10025","afterAllInvoked","org.junit.jupiter.engine.DefaultMethodTests.afterAllInvoked;Z","L10021","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\DefaultMethodTests.java","43","2","43","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
