"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L3773","TestInstance$Lifecycle","org.junit.jupiter.api.TestInstance$Lifecycle","L946","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\TestInstance.java","73","2","92","3","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","1","0.826087","19","19","1","0","0.826087","19","0","0","0","0","0","4","20","2","0","2","0","0","2","0","0","0","0","2","0","0","4","20","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"L13607","HierarchyTraversalMode","org.junit.platform.commons.support.HierarchyTraversalMode","L13555","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\junit-platform-commons\src\main\java\org\junit\platform\commons\support\HierarchyTraversalMode.java","25","1","38","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","1","0.736842","14","14","1","0","0.736842","14","0","0","0","0","0","5","14","2","0","2","0","0","2","0","0","0","0","2","0","0","5","14","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"L16690","Details","org.junit.platform.console.options.Details","L16666","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\junit-platform-console\src\main\java\org\junit\platform\console\options\Details.java","20","1","52","2","0","0","0","0","0","0","0","0","1","0","0","1","0","6","0","0","1","1","0.633333","19","19","2","0","0.633333","19","0","0","0","0","0","11","33","4","0","4","0","1","4","1","0","1","1","4","1","0","11","33","4","0","4","0","1","4","1","0","1","1","4","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"L16694","Theme","org.junit.platform.console.options.Theme","L16666","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\junit-platform-console\src\main\java\org\junit\platform\console\options\Theme.java","24","1","140","2","0","0","0","0","0","0","0","0","3","1","1","17","2","10","14","1","14","0.153846","0.417476","43","43","2","11","0.417476","43","0","0","0","0","0","60","117","4","0","4","0","13","2","12","0","13","20","2","12","0","60","117","4","0","4","0","13","2","12","0","13","20","2","12","0","0","0","30","1","2","0","0","1","0","2","1","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"L17349","Color","org.junit.platform.console.tasks.Color","L17323","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\junit-platform-console\src\main\java\org\junit\platform\console\tasks\Color.java","19","1","83","2","0","0","0","0","0","0","0","0","3","1","1","8","3","3","8","2","6","0.5","0.0666667","3","3","1","1","0.0666667","3","0","0","0","0","0","42","65","18","0","18","0","4","9","1","0","4","8","9","1","0","42","65","18","0","18","0","4","9","1","0","4","8","9","1","0","0","0","19","0","9","0","0","0","0","9","1","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0"
"L5060","TestDescriptor$Type","org.junit.platform.engine.TestDescriptor$Type","L4976","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\junit-platform-engine\src\main\java\org\junit\platform\engine\TestDescriptor.java","263","2","296","3","0","0","0","0","0","0","0","0","1","0","0","4","0","33","4","0","2","1","0.645161","20","20","3","0","0.645161","20","0","0","0","0","0","11","34","3","0","3","0","2","3","2","0","2","2","3","2","0","11","34","3","0","3","0","2","3","2","0","2","2","3","2","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"L20884","TestExecutionResult$Status","org.junit.platform.engine.TestExecutionResult$Status","L17043","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\junit-platform-engine\src\main\java\org\junit\platform\engine\TestExecutionResult.java","40","2","59","3","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","1","0.75","15","15","1","0","0.75","15","0","0","0","0","0","5","20","3","0","3","0","0","3","0","0","0","0","3","0","0","5","20","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"L22375","EngineFilter$Type","org.junit.platform.launcher.EngineFilter$Type","L18429","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\junit-platform-launcher\src\main\java\org\junit\platform\launcher\EngineFilter.java","148","2","160","3","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","8","13","3","0","3","0","1","2","0","0","1","1","2","0","0","8","13","3","0","3","0","1","2","0","0","1","1","2","0","0","0","0","9","0","1","0","0","0","0","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"L12605","EnumSource$Mode","org.junit.jupiter.params.provider.EnumSource$Mode","L614","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\junit-jupiter-params\src\main\java\org\junit\jupiter\params\provider\EnumSource.java","87","2","155","3","0","0","0","0","0","0","0","0","7","1","1","10","3","4","25","4","13","1","0.38983","23","23","1","0","0.38983","23","0","0","0","0","0","36","69","6","0","6","0","9","4","0","0","9","13","4","0","0","36","69","6","0","6","0","9","4","0","0","9","13","4","0","0","0","0","24","0","1","1","0","0","0","1","1","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0"
"L12870","EnumArgumentsProviderTests$EnumWithTwoConstants","org.junit.jupiter.params.provider.EnumArgumentsProviderTests$EnumWithTwoConstants","L12864","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\junit-jupiter-params\src\test\java\org\junit\jupiter\params\provider\EnumArgumentsProviderTests.java","74","2","76","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
