  [2022-04-06 09:52:26] Starting task:          DirectoryBasedAnalysisTask
  [2022-04-06 09:53:26] Task ended (+00:01:00): DirectoryBasedAnalysisTask     Result:OK
  [2022-04-06 09:53:26] Starting task:          JANFilterTask
  [2022-04-06 09:53:27] Task ended (+00:00:01): JANFilterTask                  Result:OK
  [2022-04-06 09:53:27] Starting task:          JAN2limTask
  [2022-04-06 09:53:40] Task ended (+00:00:13): JAN2limTask                    Result:OK
  [2022-04-06 09:53:40] Starting task:          DcfTask
  [2022-04-06 09:53:40] Starting task:          Lim2metricsTask
  [2022-04-06 09:53:40] Starting task:          ProfileTask
  [2022-04-06 09:53:41] Task ended (+00:00:01): ProfileTask                    Result:OK
  [2022-04-06 09:53:41] Starting task:          AndroidHunterTask
  [2022-04-06 09:53:41] Starting task:          FaultHunterTask
  [2022-04-06 09:53:43] Task ended (+00:00:02): AndroidHunterTask              Result:OK
  [2022-04-06 09:53:43] Starting task:          VulnerabilityHunterTask
  [2022-04-06 09:53:43] Task ended (+00:00:02): FaultHunterTask                Result:OK
  [2022-04-06 09:53:43] Starting task:          FindBugsTask
  [2022-04-06 09:53:44] Task ended (+00:00:01): VulnerabilityHunterTask        Result:OK
  [2022-04-06 09:53:44] Starting task:          RTEHunterTask
  [2022-04-06 09:53:45] Task ended (+00:00:05): Lim2metricsTask                Result:OK
  [2022-04-06 09:53:45] Starting task:          PMD2GraphTask
  [2022-04-06 09:53:47] Task ended (+00:00:03): RTEHunterTask                  Result:OK
  [2022-04-06 09:53:49] Task ended (+00:00:04): PMD2GraphTask                  Result:OK
  [2022-04-06 09:53:49] Task ended (+00:00:06): FindBugsTask                   Result:OK
  [2022-04-06 09:54:00] Task ended (+00:00:20): DcfTask                        Result:OK
  [2022-04-06 09:54:00] Starting task:          GraphMergeTask
  [2022-04-06 09:54:03] Task ended (+00:00:03): GraphMergeTask                 Result:OK
  [2022-04-06 09:54:03] Starting task:          MetricHunterTask
  [2022-04-06 09:54:20] Task ended (+00:00:17): MetricHunterTask               Result:OK
  [2022-04-06 09:54:20] Starting task:          UserDefinedMetricsTask
  [2022-04-06 09:54:20] Task ended (+00:00:00): UserDefinedMetricsTask         Result:OK
  [2022-04-06 09:54:20] Starting task:          LIM2PatternsTask
  [2022-04-06 09:54:23] Task ended (+00:00:03): LIM2PatternsTask               Result:OK
  [2022-04-06 09:54:23] Starting task:          AddLicenceTask
  [2022-04-06 09:54:23] Task ended (+00:00:00): AddLicenceTask                 Result:OK
  [2022-04-06 09:54:23] Starting task:          GraphDumpTask
  [2022-04-06 09:54:40] Task ended (+00:00:17): GraphDumpTask                  Result:OK
Done!
