"ID","Name","Parent","Component","Path","Line","Column","EndLine","EndColumn","CA","CCO","CE","CLLOC","CV","Clone Metric Rules"
"C4466","105~CloneInstance","C896","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\documentation\src\test\java\example\AssertionsDemo.java","114","2","124","3","1","1","50","11","1","0"
"C4467","106~CloneInstance","C896","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\documentation\src\test\java\example\AssertionsDemo.java","127","2","137","3","1","1","50","11","1","0"
"C5301","439~CloneInstance","C1179","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\documentation\src\test\java\example\DynamicTestsDemo.java","47","2","59","3","1","1","106","13","1","1"
"C5302","440~CloneInstance","C1179","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\documentation\src\test\java\example\DynamicTestsDemo.java","61","2","73","3","1","1","106","13","1","1"
"C3406","69~CloneInstance","C589","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\documentation\src\test\java\example\UsingTheLauncherDemo.java","37","3","47","48","1","1","193","11","1","1"
"C3407","70~CloneInstance","C589","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\documentation\src\test\java\example\UsingTheLauncherDemo.java","58","3","68","48","1","1","194","11","1","1"
"C3875","82~CloneInstance","C715","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\documentation\src\test\java\example\AssertionsDemo.java","56","4","65","5","1","1","78","10","1","0"
"C3876","83~CloneInstance","C715","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\documentation\src\test\java\example\AssertionsDemo.java","66","4","77","5","1","1","78","12","1","0"
"C5303","441~CloneInstance","C1179","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\documentation\src\test\java\example\testinterface\TestInterfaceDynamicTestsDemo.java","26","2","38","3","1","1","113","13","1","1"
"C5168","417~CloneInstance","C1141","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\documentation\src\test\java\example\testinterface\TestLifecycleLogger.java","39","2","49","3","1","1","33","11","1","0"
"C5169","418~CloneInstance","C1141","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\documentation\src\test\java\example\testinterface\TestLifecycleLogger.java","51","2","61","3","1","1","33","11","1","0"
"C5361","446~CloneInstance","C1194","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","171","2","185","3","1","4","6","15","1","0"
"C5362","447~CloneInstance","C1194","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","187","2","201","3","1","4","6","15","1","0"
"C5363","448~CloneInstance","C1194","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","203","2","217","3","1","4","6","15","1","0"
"C5364","449~CloneInstance","C1194","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","219","2","233","3","1","4","6","15","1","0"
"C5365","450~CloneInstance","C1194","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","235","2","249","3","1","4","6","15","1","0"
"C5366","451~CloneInstance","C1194","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","251","2","265","3","1","4","6","15","1","0"
"C5367","453~CloneInstance","C1195","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","267","2","281","3","1","4","10","15","1","0"
"C5327","443~CloneInstance","C1189","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","283","2","298","3","1","4","11","16","1","0"
"C5368","454~CloneInstance","C1195","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","300","2","314","3","1","4","10","15","1","0"
"C5328","444~CloneInstance","C1189","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","316","2","331","3","1","4","11","16","1","0"
"C5448","457~CloneInstance","C1224","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","399","2","408","3","1","3","13","10","1","0"
"C5447","456~CloneInstance","C1224","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertIterableEquals.java","92","2","101","3","1","3","4","10","1","0"
"C4761","254~CloneInstance","C1007","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertionsAssertArrayEqualsTests.java","324","2","341","3","1","3","62","18","1","0"
"C4763","257~CloneInstance","C1008","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertionsAssertArrayEqualsTests.java","343","2","362","3","1","3","66","20","1","0"
"C4751","239~CloneInstance","C1002","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertionsAssertArrayEqualsTests.java","408","2","418","3","1","2","42","11","1","0"
"C4755","245~CloneInstance","C1004","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertionsAssertArrayEqualsTests.java","420","2","429","3","1","2","40","10","1","0"
"C4757","248~CloneInstance","C1005","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertionsAssertArrayEqualsTests.java","431","2","441","3","1","2","42","11","1","0"
"C4762","255~CloneInstance","C1007","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertionsAssertArrayEqualsTests.java","463","2","480","3","1","3","62","18","1","0"
"C4764","258~CloneInstance","C1008","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertionsAssertArrayEqualsTests.java","482","2","501","3","1","3","66","20","1","0"
"C4752","240~CloneInstance","C1002","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertionsAssertArrayEqualsTests.java","547","2","557","3","1","2","42","11","1","0"
"C4756","246~CloneInstance","C1004","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertionsAssertArrayEqualsTests.java","559","2","568","3","1","2","40","10","1","0"
"C4759","251~CloneInstance","C1006","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertionsAssertArrayEqualsTests.java","602","2","619","3","1","3","62","18","1","0"
"C4765","259~CloneInstance","C1008","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertionsAssertArrayEqualsTests.java","621","2","640","3","1","3","66","20","1","0"
"C4753","242~CloneInstance","C1003","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertionsAssertArrayEqualsTests.java","663","2","672","3","1","2","40","10","1","0"
"C4758","249~CloneInstance","C1005","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertionsAssertArrayEqualsTests.java","710","2","721","3","1","2","42","12","1","0"
"C4760","252~CloneInstance","C1006","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertionsAssertArrayEqualsTests.java","744","2","761","3","1","3","62","18","1","0"
"C4754","243~CloneInstance","C1003","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertionsAssertArrayEqualsTests.java","805","2","814","3","1","2","40","10","1","0"
"C4749","236~CloneInstance","C1001","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertionsAssertArrayEqualsTests.java","1043","3","1056","4","1","3","44","14","1","0"
"C4750","237~CloneInstance","C1001","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertionsAssertArrayEqualsTests.java","1382","3","1395","4","1","3","44","14","1","0"
"C4770","264~CloneInstance","C1011","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertionsAssertEqualsTests.java","38","2","50","3","1","2","42","13","1","0"
"C4774","270~CloneInstance","C1013","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertionsAssertEqualsTests.java","52","2","65","3","1","2","44","14","1","0"
"C4772","267~CloneInstance","C1012","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertionsAssertEqualsTests.java","67","2","80","3","1","2","44","14","1","0"
"C4771","265~CloneInstance","C1011","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.1\junit-jupiter-engine\src\test\java\org\junit\jupiter\api\AssertionsAssertEqualsTests.java","89","2","101","3","1","2","42","13","1","0"
