"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L558","Fast","example.Fast","L104","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\Fast.java","21","1","25","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0.166667","1","0","0","1","0.166667","1","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L227","ExpectToFail","extensions.ExpectToFail","L1161","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\extensions\ExpectToFail.java","27","1","49","2","0","0","0","0","0","0","0","0","0","0","0","0","2","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","5","7","0","0","0","0","0","0","0","0","0","0","0","0","0","18","23","0","1","0","1","3","0","2","0","3","3","0","2","0","0","0","13","0","1","0","0","0","0","1","0","0","0","0","0","0","12","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"L870","AfterAll","org.junit.jupiter.api.AfterAll","L1201","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AfterAll.java","62","1","67","2","0","0","0","0","0","0","0","0","0","0","0","0","0","45","0","0","0","1","0.866667","39","39","1","0","0.866667","39","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L752","AfterEach","org.junit.jupiter.api.AfterEach","L1201","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AfterEach.java","58","1","63","2","0","0","0","0","0","0","0","0","0","0","0","0","0","51","0","0","0","1","0.853659","35","35","1","0","0.853659","35","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L860","BeforeAll","org.junit.jupiter.api.BeforeAll","L1201","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\BeforeAll.java","62","1","67","2","0","0","0","0","0","0","0","0","0","0","0","0","0","37","0","0","0","1","0.866667","39","39","1","0","0.866667","39","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L736","BeforeEach","org.junit.jupiter.api.BeforeEach","L1201","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\BeforeEach.java","58","1","63","2","0","0","0","0","0","0","0","0","0","0","0","0","0","73","0","0","0","1","0.853659","35","35","1","0","0.853659","35","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L341","Disabled","org.junit.jupiter.api.Disabled","L1201","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\Disabled.java","32","1","43","2","0","0","0","0","0","0","0","0","0","0","0","1","0","15","0","0","1","1","0.631579","12","12","1","0","0.631579","12","0","0","0","0","0","7","12","0","0","0","0","1","0","0","0","1","0","0","0","0","7","12","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L351","DisplayName","org.junit.jupiter.api.DisplayName","L1201","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\DisplayName.java","34","1","48","2","0","0","0","0","0","0","0","0","0","0","0","1","0","21","1","0","1","1","0.708333","17","17","1","0","0.708333","17","0","0","0","0","0","7","15","0","0","0","0","1","0","0","0","1","0","0","0","0","7","15","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L901","Nested","org.junit.jupiter.api.Nested","L1201","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\Nested.java","29","1","34","2","0","0","0","0","0","0","0","0","0","0","0","0","0","46","0","0","0","1","0.5","6","6","1","0","0.5","6","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L843","RepeatedTest","org.junit.jupiter.api.RepeatedTest","L1201","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\RepeatedTest.java","53","1","134","2","0","0","0","0","0","0","0","0","0","0","0","2","1","7","2","0","2","1","0.865385","90","90","1","0","0.865385","90","0","0","0","0","0","14","82","5","0","5","0","2","0","0","0","2","0","0","0","0","14","82","5","0","5","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
