"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L138","AssertionsDemo","example.AssertionsDemo","L104","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\AssertionsDemo.java","27","1","143","2","0.423077","2","4","4","0.376068","0.379747","44","30","10","0","0","10","4","0","0","9","19","0","0.185567","18","4","0","1","0.185567","18","0","0","0","0","0","79","117","1","0","1","0","10","0","0","0","10","15","0","0","0","79","117","1","0","1","0","10","0","0","0","10","15","0","0","0","0","0","78","0","20","0","0","19","62","1","1","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L147","Person","example.Person","L104","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\AssertionsDemo.java","147","1","165","2","0","0","0","0","0","0","0","0","0","0","0","3","0","1","4","0","3","1","0.125","2","2","1","0","0.125","2","0","0","0","0","0","14","19","2","2","2","2","3","0","0","0","3","4","0","0","0","14","19","2","2","2","2","3","0","0","0","3","4","0","0","0","0","0","8","0","3","0","0","0","0","2","0","0","0","0","0","0","8","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L249","AssumptionsDemo","example.AssumptionsDemo","L104","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\AssumptionsDemo.java","21","1","48","2","0","0","0","0","0","0","0","0","3","0","0","3","3","0","0","4","7","0","0.208333","5","0","0","1","0.208333","5","0","0","0","0","0","19","28","0","0","0","0","3","0","0","0","3","4","0","0","0","19","28","0","0","0","0","3","0","0","0","3","4","0","0","0","0","0","10","2","3","0","0","5","0","0","1","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L340","DisabledClassDemo","example.DisabledClassDemo","L104","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\DisabledClassDemo.java","17","1","22","2","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","1","0","0.142857","1","0","0","1","0.142857","1","0","0","0","0","0","6","6","0","0","0","0","1","0","0","0","1","0","0","0","0","6","6","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","5","1","1","0","0","1","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L346","DisabledTestsDemo","example.DisabledTestsDemo","L104","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\DisabledTestsDemo.java","17","1","27","2","0","0","0","0","0","0","0","0","2","0","0","2","2","0","0","0","2","0","0.1","1","0","0","1","0.1","1","0","0","0","0","0","9","11","0","0","0","0","2","0","0","0","2","0","0","0","0","9","11","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","8","2","2","0","0","2","0","0","1","0","0","0","0","0","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L350","DisplayNameDemo","example.DisplayNameDemo","L104","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\DisplayNameDemo.java","17","1","35","2","0","0","0","0","0","0","0","0","3","0","0","3","2","0","0","0","3","0","0.0625","1","0","0","1","0.0625","1","0","0","0","0","0","15","19","0","0","0","0","3","0","0","0","3","0","0","0","0","15","19","0","0","0","0","3","0","0","0","3","0","0","0","0","0","0","10","3","3","0","0","3","0","0","1","0","0","0","0","0","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L358","DocumentationTestSuite","example.DocumentationTestSuite","L104","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\DocumentationTestSuite.java","32","1","37","2","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","1","0.684211","13","13","1","0","0.684211","13","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L375","DynamicTestsDemo","example.DynamicTestsDemo","L104","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\DynamicTestsDemo.java","36","1","170","2","0.179567","1","2","2","0.192593","0.197183","26","14","8","0","0","8","5","0","0","2","10","0","0.446602","46","1","0","1","0.398305","47","0","0","0","0","0","57","115","0","0","0","0","8","0","0","0","8","11","0","0","0","71","135","2","0","2","0","10","0","2","0","10","14","0","2","0","0","0","45","0","7","0","0","7","35","0","1","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L574","FirstJUnit5Tests","example.FirstJUnit5Tests","L104","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\FirstJUnit5Tests.java","18","1","25","2","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","1","2","0","0.142857","1","0","0","1","0.142857","1","0","0","0","0","0","6","8","0","0","0","0","1","0","0","0","1","1","0","0","0","6","8","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","5","0","1","0","0","1","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L577","HamcrestAssertionDemo","example.HamcrestAssertionDemo","L104","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\HamcrestAssertionDemo.java","20","1","27","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0.142857","1","0","0","1","0.142857","1","0","0","0","0","0","6","8","0","0","0","0","1","0","0","0","1","1","0","0","0","6","8","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","5","0","1","0","0","1","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
