"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L26022","apache-license-2.0.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/src/spotless/apache-license-2.0.java","L26021","1","0","0","0","0","16"
"L26023","eclipse-public-license-2.0.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/src/spotless/eclipse-public-license-2.0.java","L26021","1","0","0","0","0","10"
"L26019","DefaultPackageTestCase.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/platform-tests/src/test/java/DefaultPackageTestCase.java","L1188","1","0","0","0","8","29"
"L26018","DefaultPackageTestCase.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/test/java/DefaultPackageTestCase.java","L1196","1","0","0","0","8","29"
"L116","AssertionsDemo.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/documentation/src/test/java/example/AssertionsDemo.java","L115","1","0","0","0","104","166"
"L117","AssumptionsDemo.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/documentation/src/test/java/example/AssumptionsDemo.java","L115","1","0","0","0","24","51"
"L118","DisabledClassDemo.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/documentation/src/test/java/example/DisabledClassDemo.java","L115","1","0","0","0","9","24"
"L119","DisabledTestsDemo.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/documentation/src/test/java/example/DisabledTestsDemo.java","L115","1","0","0","0","12","29"
"L120","DisplayNameDemo.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/documentation/src/test/java/example/DisplayNameDemo.java","L115","1","0","0","0","18","37"
"L121","DocumentationTestSuite.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/documentation/src/test/java/example/DocumentationTestSuite.java","L115","1","0","1","0","12","38"
"L122","DynamicTestsDemo.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/documentation/src/test/java/example/DynamicTestsDemo.java","L115","1","0","0","0","91","172"
"L123","Fast.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/documentation/src/test/java/example/Fast.java","L115","1","0","0","1","11","27"
"L124","FirstJUnit5Tests.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/documentation/src/test/java/example/FirstJUnit5Tests.java","L115","1","0","0","0","9","27"
"L125","HamcrestAssertionDemo.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/documentation/src/test/java/example/HamcrestAssertionDemo.java","L115","1","0","0","0","11","29"
"L126","JUnit4ClassDemo.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/documentation/src/test/java/example/JUnit4ClassDemo.java","L115","1","0","0","1","16","38"
"L127","JUnit4SuiteDemo.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/documentation/src/test/java/example/JUnit4SuiteDemo.java","L115","1","0","0","1","9","26"
"L128","JUnit4Tests.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/documentation/src/test/java/example/JUnit4Tests.java","L115","1","0","0","2","7","22"
"L129","ParameterizedTestDemo.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/documentation/src/test/java/example/ParameterizedTestDemo.java","L115","5","0","0","0","167","247"
"L130","RepeatedTestsDemo.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/documentation/src/test/java/example/RepeatedTestsDemo.java","L115","1","0","0","0","40","69"
"L131","StandardTests.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/documentation/src/test/java/example/StandardTests.java","L115","1","0","0","0","34","61"
"L132","TaggingDemo.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/documentation/src/test/java/example/TaggingDemo.java","L115","1","0","0","0","11","28"
"L133","TestInfoDemo.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/documentation/src/test/java/example/TestInfoDemo.java","L115","2","0","0","0","29","50"
"L134","TestingAStackDemo.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/documentation/src/test/java/example/TestingAStackDemo.java","L115","1","0","0","0","69","99"
"L135","TestReporterDemo.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/documentation/src/test/java/example/TestReporterDemo.java","L115","1","0","0","0","17","37"
