"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L272","ComparableContract<T extends Comparable<T>>","example.defaultmethods.ComparableContract","L266","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\defaultmethods\ComparableContract.java","19","1","43","2","0","0","0","0","0","0","0","0","0","0","0","4","3","1","0","3","7","0.2","0.0909091","2","1","1","4","0.0909091","2","1","1","1","1","1","20","25","0","0","0","0","4","0","4","0","5","8","0","5","0","20","25","0","0","0","0","4","0","4","0","5","8","0","5","0","0","0","11","0","3","0","0","3","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L298","EqualsContract<T extends Object>","example.defaultmethods.EqualsContract","L266","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\defaultmethods\EqualsContract.java","20","1","44","2","0","0","0","0","0","0","0","0","0","0","0","4","3","1","0","4","8","0.2","0.0909091","2","1","1","4","0.0909091","2","1","1","1","1","1","20","25","0","0","0","0","4","0","4","0","5","8","0","5","0","20","25","0","0","0","0","4","0","4","0","5","8","0","5","0","0","1","11","0","3","0","0","3","0","0","0","0","0","0","0","0","11","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L275","Testable<T extends Object>","example.defaultmethods.Testable","L266","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\defaultmethods\Testable.java","14","1","18","2","0","0","0","0","0","0","0","0","0","0","0","1","0","2","6","0","1","0.5","0.4","2","1","1","1","0.4","2","0","0","2","3","0","3","5","0","0","0","0","1","0","1","0","1","0","0","1","0","3","5","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L946","TestInterfaceDynamicTestsDemo","example.testinterface.TestInterfaceDynamicTestsDemo","L931","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\testinterface\TestInterfaceDynamicTestsDemo.java","24","1","40","2","0.966667","1","1","1","0.764706","0.777778","13","7","0","0","0","1","2","1","0","1","2","0.5","0.470588","8","1","1","1","0.470588","8","0","0","1","1","0","9","17","0","0","0","0","1","0","1","0","1","1","0","1","0","9","17","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","21","0","1","0","0","1","20","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L940","TestLifecycleLogger","example.testinterface.TestLifecycleLogger","L931","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\testinterface\TestLifecycleLogger.java","24","1","63","2","0.506329","1","2","2","0.55","0.454545","22","10","0","0","0","4","6","1","0","0","4","0.2","0.388889","14","1","1","4","0.388889","14","0","0","1","1","0","22","40","1","0","1","0","4","1","4","0","4","4","1","4","0","22","40","1","0","1","0","4","1","4","0","4","4","1","4","0","0","0","34","0","1","0","0","0","25","1","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"L943","TimeExecutionLogger","example.testinterface.TimeExecutionLogger","L931","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\testinterface\TimeExecutionLogger.java","19","1","22","2","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","1","0.333333","2","1","1","0","0.333333","2","0","0","1","1","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L824","RepetitionInfo","org.junit.jupiter.api.RepetitionInfo","L1201","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\RepetitionInfo.java","36","1","53","2","0","0","0","0","0","0","0","0","0","0","0","2","0","5","4","0","2","1","0.852941","29","29","3","0","0.852941","29","0","0","1","1","0","5","18","0","2","0","2","2","0","2","0","2","0","0","2","0","5","18","0","2","0","2","2","0","2","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L740","TestInfo","org.junit.jupiter.api.TestInfo","L1201","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\TestInfo.java","34","1","102","2","0","0","0","0","0","0","0","0","0","0","0","4","0","32","54","0","4","1","0.909091","70","70","5","0","0.909091","70","0","0","1","1","0","7","69","0","4","0","4","4","0","4","0","4","0","0","4","0","7","69","0","4","0","4","4","0","4","0","4","0","0","4","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L746","TestReporter","org.junit.jupiter.api.TestReporter","L1201","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\TestReporter.java","30","1","45","2","0","0","0","0","0","0","0","0","0","0","0","2","0","8","10","0","2","0.666667","0.652174","15","15","2","1","0.652174","15","0","0","0","0","0","8","16","0","0","0","0","2","0","2","0","2","1","0","2","0","8","16","0","0","0","0","2","0","2","0","2","1","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5681","ConfigurationParameters","org.junit.platform.engine.ConfigurationParameters","L19133","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-platform-engine\src\main\java\org\junit\platform\engine\ConfigurationParameters.java","31","1","92","2","0","0","0","0","0","0","0","0","0","0","0","3","0","18","27","0","3","1","0.898551","62","62","4","0","0.898551","62","0","0","1","1","0","7","62","1","1","1","1","3","1","3","0","3","0","1","3","0","7","62","1","1","1","1","3","1","3","0","3","0","1","3","0","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
