"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L100","<root_package>","<root_package>","__LogicalRoot__","L103","0.083045","137","442","329","0.056552","0.0809841","4187","3542","0","0","0","0","0","0.598377","0.292872","18115","885","594","0","0","0","0","0","0","0","0","0","5","0","0","43738","74038","925","1045","239","13","692","554","102","5234","13640","91","253","9","64","73","1695","39","0","35","15810","1099","3324","259","0","2439","818","0","457","0","260","0","418","0","0","0","1","0","65","0","0","0","0"
"L104","example","example","L100","L103","0.0644535","5","11","11","0.26506","0.288462","44","30","0.166667","0.325169","385","1","5","0.26087","0.354569","551","6","17","799","1434","8","31","0","4","0","101","0","4","10","0","1003","1899","10","37","15","0","34","5","6","127","159","1","6","0","3","4","30","0","0","3","471","31","99","0","0","81","29","0","5","0","14","0","4","0","0","0","0","0","0","0","0","0","0"
"L1161","extensions","extensions","L100","L103","0","0","0","0","0","0","0","0","0","0.230769","9","0","4","0","0.230769","9","0","4","30","50","0","1","0","1","0","3","0","0","2","0","30","50","0","1","11","0","1","1","0","3","3","0","1","0","0","0","2","0","0","0","13","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1183","org","org","L100","L103","0.0836026","132","431","318","0.0564673","0.0811832","4060","3461","0","0","0","0","0","0.607044","0.290974","17496","879","569","0","0","0","0","0","0","0","0","0","1","0","0","42633","71900","915","1002","222","13","650","548","96","5094","13472","90","245","9","61","64","1660","39","0","32","15299","1062","3218","259","0","2351","785","0","452","0","244","0","414","0","0","0","1","0","65","0","0","0","0"
"L26017","unnamed package","unnamed package","L100","L103","0","0","0","0","0","0","0","0","0","0.666667","32","0","0","0","0.666667","32","0","0","16","84","0","2","0","0","0","2","0","0","0","0","16","84","0","2","16","0","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L26034","standalone","standalone","L100","L103","0","0","0","0","0","0","0","0","0","0.325301","27","0","4","0","0.325301","27","0","4","56","105","0","3","0","0","0","8","0","0","3","0","56","105","0","3","11","0","3","0","0","8","6","0","1","0","0","0","3","0","0","0","27","4","4","0","0","5","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L266","defaultmethods","example.defaultmethods","L104","L103","0","0","0","0","0","0","0","0","0.25","0.39823","45","3","9","0.25","0.39823","45","3","9","68","144","0","1","0","0","3","12","0","0","12","0","68","144","0","1","12","0","4","0","3","12","19","0","0","0","3","0","12","0","0","1","36","0","6","0","0","6","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"L522","exception","example.exception","L104","L103","0","0","0","0","0","0","0","0","0.5","0.415094","22","1","1","0.5","0.415094","22","1","1","31","68","0","2","0","0","0","3","0","0","1","0","31","68","0","2","12","0","2","0","0","3","5","0","1","0","0","0","1","0","0","0","11","3","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L931","testinterface","example.testinterface","L104","L103","0.199422","2","3","3","0","0","0","0","0","0.492308","64","0","0","0","0.492308","64","0","0","66","161","1","1","0","0","3","6","1","0","5","0","66","161","1","1","12","0","4","0","3","6","6","1","0","0","0","0","5","0","0","0","60","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1056","timing","example.timing","L104","L103","0","0","0","0","0","0","0","0","0.333333","0.472973","35","1","2","0.333333","0.472973","35","1","2","39","92","1","2","0","1","0","5","0","0","2","0","39","92","1","2","12","0","2","1","0","5","8","0","1","0","0","0","2","0","0","0","13","4","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
